CSA2010,teenbir10,teenbir11,teenbir12,teenbir13,teenbir14,termbir10,termbir11,termbir12,termbir13,termbir14,birthwt10,birthwt11,birthwt12,birthwt13,birthwt14,prenatal10,prenatal11,prenatal12,prenatal13,prenatal14,leadtest10,leadtest11,leadtest12,leadtest13,leadtest14,ebll10,ebll11,ebll12,ebll13,ebll14,LifeExp11,LifeExp12,LifeExp13,LifeExp14,mort1_11,mort1_12,mort1_13,mort1_14,mort14_11,mort14_12,mort14_13,mort14_14,mort24_11,mort24_12,mort24_13,mort24_14,mort44_11,mort44_12,mort44_13,mort44_14,mort64_11,mort64_12,mort64_13,mort64_14,mort84_11,mort84_12,mort84_13,mort84_14,mort85_11,mort85_12,mort85_13,mort85_14,liquor11,liquor12,liquor13,liquor14,fastfd11,fastfd13,tanf11,tanf12,tanf13,tanf14
Clifton-Berea,72.0,61.7,77.1,51.4,36.0,82.8,85.6,85.7,82.2,87.3,83.6,88.1,90.3,81.5,80.3,52.2,56.9,64.0,42.2,38.7,0,0,0,NA,141,0.0,0.0,0.0,NA,5.0,65.1,66.4,66.8,67.2,21.5,17.6,17.8,14.7,3.1,3.1,3.1,3.1,41.3,31.9,24.0,29.3,66.8,59.5,48.7,55.9,195.0,185.6,146.0,182.5,415.4,416.9,335.3,392.7,1449.3,1468.6,1227.1,1603.9,1.9,1.7,1.9,1.4,0.9,1.4,21.0,25.3,24.1,27.0
Cross-Country/Cheswolde,0.0,15.5,6.7,11.1,6.7,93.2,95.9,92.5,95.1,95.3,95.1,96.8,93.8,95.1,96.3,60.2,68.3,62.5,63.3,58.5,408,351,391,NA,140,0.0,0.0,0.0,NA,0.0,88.0,84.2,85.3,89.6,9.2,2.1,2.1,7.7,0.7,2.2,0.7,0.7,2.2,5.5,3.3,4.4,2.6,5.8,3.2,2.6,31.8,58.3,43.5,43.5,78.3,214.4,155.6,163.2,292.2,918.7,707.8,641.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.7,1.4,1.0
Dickeyville/Franklintown,21.1,28.2,35.2,70.4,28.2,85.5,94.2,92.3,89.5,90.6,85.5,94.2,88.5,88.2,87.5,63.6,57.7,55.8,51.3,54.7,110,0,0,80,100,0.0,0.0,0.0,0.0,0.0,72.2,73.4,73.3,73.3,25.0,18.6,13.9,17.1,2.4,2.4,2.4,2.4,24.8,12.4,12.4,3.1,19.9,19.9,18.3,23.3,106.9,108.9,88.4,106.9,403.8,410.3,326.9,442.3,1488.4,1348.8,1069.8,1395.3,0.2,0.2,0.2,0.0,0.2,0.0,7.9,7.7,7.5,5.8
Dorchester/Ashburton,49.3,49.3,35.2,32.9,16.4,87.2,85.3,83.7,83.0,85.0,85.7,84.5,87.0,82.1,88.2,56.4,58.9,61.0,39.3,52.8,0,0,0,127,133,0.0,0.0,0.0,5.5,4.5,73.4,74.0,73.6,73.9,8.5,10.3,12.6,8.1,2.1,3.2,3.2,4.2,13.5,17.2,14.7,24.5,33.3,28.9,22.2,28.9,113.2,112.6,89.7,111.4,393.7,359.7,283.5,350.3,1294.1,1245.7,1003.5,1314.9,0.3,0.3,0.2,0.2,0.8,1.0,6.3,8.3,7.1,7.4
Downtown/Seton Hill,65.2,43.5,21.7,10.9,43.5,87.5,80.7,80.0,89.7,95.2,80.4,82.5,80.0,89.7,96.4,69.6,70.2,64.0,50.0,38.6,49,47,76,38,94,0.0,0.0,0.0,0.0,0.0,64.0,65.0,66.0,67.5,12.9,9.0,9.4,12.2,15.5,20.7,20.7,20.7,2.9,7.1,5.7,5.7,22.0,15.3,8.6,13.5,214.5,203.5,157.7,177.8,831.1,785.4,557.1,584.5,2384.6,2000.0,1153.8,1307.7,8.5,8.5,7.9,7.3,22.3,25.6,6.7,6.9,5.7,10.5
Edmondson Village,89.5,64.8,49.4,52.5,24.7,85.0,88.8,88.3,86.3,83.2,85.0,86.9,86.5,84.3,86.3,62.6,55.1,60.4,40.2,51.6,123,207,132,136,182,0.0,0.0,5.3,0.0,0.0,73.2,73.5,72.9,72.4,12.3,12.7,11.3,13.6,1.4,0.0,0.0,0.0,4.8,6.4,6.4,9.5,39.7,35.0,28.0,30.4,120.2,120.2,95.6,124.9,359.6,351.3,286.7,384.4,1264.7,1338.2,1176.5,1661.8,0.5,0.1,0.4,0.1,0.1,0.1,12.0,13.4,11.5,11.1
Fells Point,88.9,44.4,100.0,22.2,33.3,94.2,96.2,93.7,89.8,94.5,94.2,94.0,97.2,91.2,97.9,59.1,69.2,76.2,62.6,56.6,137,215,114,160,156,0.0,0.0,0.0,0.0,0.0,76.8,76.8,77.2,78.2,0.0,4.2,4.2,4.1,0.0,0.0,0.0,0.0,7.1,5.3,5.3,7.1,7.7,8.6,6.8,6.4,77.1,82.8,60.1,71.5,398.7,378.9,290.0,339.4,1644.4,1488.9,1200.0,1377.8,4.1,4.1,4.1,4.4,1.9,2.2,1.6,1.2,1.0,1.1
Forest Park/Walbrook,71.8,58.5,50.5,37.2,34.6,85.9,85.0,80.4,86.5,85.5,87.3,83.5,79.0,86.5,84.0,52.8,42.9,63.6,51.9,45.0,109,169,191,NA,111,4.6,3.0,0.0,NA,4.5,73.9,73.4,74.5,74.7,6.1,10.8,10.6,10.2,4.8,4.8,1.2,1.2,12.2,10.8,6.8,12.2,27.9,24.4,15.7,21.8,113.2,114.6,95.2,106.3,394.0,392.3,292.2,340.6,1169.8,1301.9,1113.2,1396.2,0.5,0.5,0.5,0.4,0.3,0.4,8.8,11.3,9.9,10.8
Glen-Fallstaff,49.5,30.5,26.7,15.2,40.0,90.4,89.4,88.8,90.9,90.0,94.5,90.4,92.5,91.3,92.0,56.4,60.6,62.6,47.2,42.5,164,302,158,162,143,0.0,1.7,0.0,0.0,0.0,95.6,78.5,78.6,82.5,6.8,7.4,8.4,9.8,0.0,2.4,1.6,1.6,2.0,5.0,4.0,4.0,13.9,23.1,17.3,16.8,43.7,76.3,63.1,55.9,137.3,278.3,218.3,217.4,396.6,1185.5,980.8,942.4,0.3,0.4,0.3,0.5,1.9,2.3,3.3,4.7,4.1,3.9
Greater Charles Village/Barclay,9.7,11.6,10.7,9.7,6.8,86.1,90.7,85.5,90.7,86.8,88.3,90.7,89.1,91.5,89.3,56.2,63.6,70.3,55.0,46.3,84,0,107,112,151,0.0,0.0,0.0,0.0,0.0,76.2,75.1,73.1,74.7,14.3,15.2,9.7,12.4,0.0,3.9,3.9,3.9,2.4,2.4,2.1,2.4,10.7,11.5,10.7,11.5,109.5,118.7,107.0,131.5,385.9,378.1,366.3,378.1,886.2,1029.9,1029.9,1018.0,0.9,1.2,0.9,1.1,2.1,1.8,8.2,10.5,9.2,9.4
Greater Govans,53.7,68.3,34.1,46.3,56.1,87.2,87.1,87.7,83.1,91.7,87.9,87.1,87.7,83.1,89.2,61.0,57.1,59.4,42.3,43.9,54,123,64,194,63,0.0,0.0,0.0,2.6,0.0,74.0,74.3,73.9,73.3,15.1,12.4,12.8,10.1,0.0,0.0,0.0,0.0,14.2,14.2,11.7,11.7,29.9,29.2,23.4,30.7,102.8,102.8,84.2,116.6,357.3,360.5,295.3,371.9,1270.1,1313.9,1065.7,1518.2,0.3,0.4,0.3,0.3,0.4,0.7,8.4,10.2,10.2,9.8
Greater Mondawmin,42.9,32.2,41.1,21.5,16.1,78.4,85.9,86.1,84.0,86.6,85.6,87.5,87.8,90.6,85.7,49.6,57.8,65.2,42.5,42.9,203,59,34,154,96,0.0,0.0,0.0,0.0,0.0,71.1,71.7,71.2,71.7,15.9,17.7,14.6,13.4,6.9,2.7,2.7,1.4,21.6,15.1,10.8,9.7,41.0,38.1,29.3,39.1,129.9,134.0,114.1,146.4,425.2,418.3,316.3,382.0,1074.1,1118.5,866.7,1222.2,0.6,0.6,0.4,0.4,1.8,1.7,11.4,12.7,12.2,13.3
Greater Roland Park/Poplar Hill,0.0,0.0,0.0,0.0,0.0,94.3,91.1,83.6,94.4,96.4,94.3,89.3,88.5,96.3,100.0,74.3,73.2,86.9,64.8,65.5,132,57,43,122,99,0.0,0.0,0.0,0.0,0.0,84.1,84.4,84.4,83.8,0.0,3.3,3.4,3.4,1.8,0.0,0.0,0.0,5.7,2.8,0.0,0.0,3.2,2.1,2.1,4.3,33.2,33.2,29.7,33.2,213.1,209.7,161.1,218.1,1317.1,1280.5,1073.2,1390.2,0.4,0.3,0.4,0.3,0.7,0.8,0.3,0.3,0.2,0.1
Greater Rosemont,80.8,64.7,58.5,57.2,44.8,87.1,88.6,82.1,84.8,83.8,87.8,90.5,81.3,84.8,85.7,52.3,49.6,58.2,45.5,44.1,479,496,95,101,115,1.0,1.6,5.3,0.0,5.2,69.2,70.1,70.0,70.2,11.1,13.6,15.2,13.3,3.1,3.1,2.1,1.6,16.3,12.4,10.4,15.0,52.6,46.1,38.2,47.0,145.8,143.2,111.2,146.2,461.2,436.0,336.2,422.5,1323.7,1289.9,990.3,1236.7,0.9,1.0,0.9,0.9,1.4,1.4,16.0,18.4,16.1,21.0
Greenmount East,99.2,79.9,55.1,74.4,90.9,85.4,85.3,84.4,84.2,85.2,82.6,82.4,84.4,88.5,84.6,48.6,64.0,62.6,40.3,40.3,183,167,185,209,229,3.8,3.6,3.8,4.8,4.8,67.0,67.4,66.1,67.8,20.5,18.2,20.5,19.9,9.2,6.5,3.9,3.9,12.2,9.1,6.1,9.1,54.1,48.4,41.7,45.0,167.0,175.2,160.5,173.6,433.9,445.2,395.5,447.5,1546.2,1630.3,1395.0,1546.2,2.2,2.0,1.6,1.6,1.4,0.8,20.1,22.9,20.6,23.9
Hamilton,25.3,10.5,27.4,33.7,18.9,83.1,86.2,88.0,83.6,87.8,86.4,89.9,91.1,86.1,89.1,68.6,71.7,65.8,55.2,45.6,64,177,161,203,248,0.0,0.0,0.0,0.0,0.0,75.3,75.4,75.0,74.9,13.2,15.0,16.0,8.3,4.4,4.4,1.8,2.7,8.1,8.1,6.9,10.4,19.4,16.7,10.2,17.2,71.6,76.4,56.7,89.3,424.3,413.9,325.2,415.7,1417.6,1272.0,1034.5,1402.3,1.3,0.5,1.2,0.5,0.8,0.9,3.5,4.4,4.1,3.3
Harbor East/Little Italy,70.4,70.4,49.3,49.3,28.2,84.0,88.0,85.6,88.2,83.0,85.1,89.2,87.8,90.6,84.1,61.7,57.8,64.4,50.6,46.6,199,154,39,142,52,0.0,0.0,0.0,0.0,0.0,73.5,72.5,72.7,72.3,15.5,19.5,20.3,20.5,3.9,1.9,0.0,0.0,20.2,20.2,17.3,20.2,17.9,19.9,16.9,18.9,116.9,118.5,97.4,125.0,365.3,383.9,303.4,396.3,1117.6,1235.3,941.2,1235.3,3.1,3.3,2.8,2.8,3.0,3.1,14.8,12.8,14.1,15.4
Harford/Echodale,15.8,45.5,29.7,23.8,23.8,85.8,87.2,86.2,80.4,86.4,88.1,89.7,89.2,83.0,89.0,58.0,64.9,66.4,57.0,56.0,156,297,348,380,404,0.0,0.0,0.0,0.0,0.0,75.9,76.2,76.0,75.8,6.3,6.4,4.1,2.7,3.3,3.3,2.7,3.3,10.6,8.8,7.0,10.6,18.6,17.0,15.4,17.8,80.5,81.8,70.1,86.9,357.1,350.4,274.9,361.2,1589.7,1572.6,1205.1,1606.8,0.4,0.7,0.3,0.7,0.6,0.6,4.3,4.1,3.5,4.0
Highlandtown,77.6,77.6,94.8,103.4,43.1,92.4,87.9,93.5,93.3,88.6,91.6,89.2,92.0,92.7,91.0,62.6,58.6,74.6,60.0,50.6,113,107,105,199,235,0.0,0.0,0.0,0.0,0.0,74.0,74.4,74.3,74.0,4.4,7.3,8.3,10.7,0.0,0.0,0.0,0.0,9.0,9.0,9.0,11.3,11.1,10.6,8.2,10.6,118.2,109.5,93.4,119.7,434.8,398.6,286.2,373.2,1728.8,1711.9,1186.4,1372.9,5.1,5.2,4.8,4.8,2.3,1.9,3.9,3.2,3.0,3.3
Howard Park/West Arlington,61.6,44.8,33.6,5.6,64.4,85.0,89.5,82.5,90.4,86.2,86.0,94.2,81.6,89.4,86.9,48.6,69.8,68.0,46.8,42.3,0,237,0,NA,0,0.0,0.0,0.0,NA,0.0,74.2,75.0,75.4,76.0,8.8,7.5,7.9,5.7,2.4,2.4,2.4,1.2,10.9,9.6,8.2,8.2,40.0,30.7,22.1,24.7,108.6,108.6,82.2,98.6,348.0,348.0,273.3,340.3,1144.0,1198.4,957.2,1369.6,0.3,0.3,0.2,0.2,0.9,0.7,5.1,6.0,5.7,4.6
Inner Harbor/Federal Hill,30.0,30.0,10.0,30.0,10.0,92.7,90.8,89.8,91.1,87.6,92.1,93.5,92.1,93.9,94.6,74.4,77.7,76.3,65.6,64.5,232,172,239,236,207,0.0,0.0,0.0,0.0,0.0,77.3,77.8,78.8,78.9,7.1,6.9,5.7,5.6,0.0,0.0,0.0,0.0,5.4,5.4,3.3,3.3,6.9,5.6,3.6,4.3,83.6,86.9,71.6,82.0,343.3,336.7,258.7,326.7,1298.0,1245.0,1046.4,1311.3,3.3,2.6,3.3,2.5,4.2,4.4,2.8,3.6,2.6,1.6
Lauraville,38.8,34.2,27.4,25.1,18.3,85.8,84.8,86.0,89.6,89.9,86.6,87.4,87.3,90.3,87.9,66.1,59.6,62.7,61.9,53.0,145,33,120,138,200,0.0,0.0,0.0,0.0,0.0,74.2,75.0,75.3,76.1,18.0,14.7,9.7,5.6,1.9,1.9,1.0,2.9,9.8,11.0,11.0,11.0,20.1,18.3,15.4,16.0,83.5,78.7,60.5,77.1,422.9,401.1,321.2,372.1,1547.7,1527.6,1216.1,1477.4,0.7,0.6,0.7,0.5,0.6,0.7,4.2,5.0,4.0,4.6
Loch Raven,57.8,31.7,18.7,24.3,22.4,83.9,84.3,88.1,83.9,86.3,88.6,86.0,88.1,86.3,88.1,54.4,62.8,58.5,46.0,44.0,0,222,190,236,173,0.0,0.0,0.0,0.0,0.0,75.2,75.9,76.2,76.6,13.6,13.7,14.6,13.8,1.5,0.8,0.0,0.8,15.4,12.0,8.6,7.7,24.2,23.7,18.8,21.7,86.9,84.1,67.9,81.3,336.8,342.1,272.6,346.0,1263.5,1184.1,895.3,1075.8,0.2,0.1,0.2,0.2,0.3,0.3,3.9,5.3,4.4,3.8
Madison/East End,81.0,86.1,75.9,55.7,38.0,83.6,85.6,81.8,87.5,82.6,85.4,83.1,89.4,85.3,84.8,50.3,53.8,65.3,41.2,39.9,377,353,318,312,173,6.1,5.9,4.4,3.8,4.0,66.8,67.4,68.2,68.7,14.0,14.4,15.5,12.9,1.0,2.1,2.1,5.2,23.1,20.4,12.2,9.5,53.7,42.4,33.1,32.0,166.0,176.2,142.1,174.0,504.2,491.6,382.4,474.8,1578.9,1368.4,1157.9,1578.9,1.8,1.5,1.7,1.3,4.6,5.0,24.7,26.9,26.5,29.1
Medfield/Hampden/Woodberry/Remington,58.8,44.1,44.1,7.4,14.7,90.0,92.1,90.9,91.9,89.6,91.0,93.4,91.8,94.6,91.7,66.5,69.0,67.9,61.5,66.3,156,275,283,313,271,0.0,0.0,0.0,0.0,0.0,75.5,75.9,76.4,76.2,6.3,7.1,4.4,7.1,2.2,2.2,2.2,2.2,9.5,8.4,6.3,6.3,17.4,14.8,11.5,15.0,98.7,97.2,76.2,95.1,414.6,405.0,316.9,399.2,1041.3,1052.3,854.0,1016.5,1.2,1.2,1.0,1.0,1.0,1.0,2.7,2.3,2.1,1.7
Midtown,8.0,4.8,4.8,3.2,6.4,89.3,86.3,93.4,94.1,80.5,90.2,90.4,91.7,91.1,85.6,67.9,58.9,66.1,66.3,52.5,0,65,116,71,114,0.0,0.0,0.0,0.0,0.0,74.8,76.0,76.0,75.7,11.5,7.6,7.8,11.2,2.9,2.9,2.9,2.9,4.0,2.9,2.9,2.3,17.0,14.9,12.5,12.5,113.2,109.7,87.1,109.1,362.6,355.4,276.7,347.0,1058.8,983.2,764.7,1126.1,1.9,1.9,1.9,1.8,2.1,2.6,5.3,6.9,6.0,4.3
Midway/Coldstream,53.7,79.4,65.4,58.4,51.4,85.7,81.8,80.9,88.2,88.2,79.4,85.5,84.2,87.5,88.2,45.2,53.3,51.4,38.9,42.8,114,328,114,242,112,6.1,5.5,6.1,5.4,6.3,66.1,67.9,68.8,69.4,10.6,15.4,8.8,13.0,12.6,8.4,8.4,10.5,36.4,29.9,20.8,18.2,59.8,41.6,30.3,38.1,155.1,145.7,115.9,142.5,448.8,422.9,328.7,397.0,1657.1,1866.7,1390.5,1771.4,1.5,1.6,1.2,1.4,2.1,2.4,15.4,18.5,16.2,17.4
Morrell Park/Violetville,78.8,14.8,39.4,34.5,49.3,87.5,86.1,88.0,92.5,91.7,92.5,92.2,93.2,92.5,94.4,61.7,65.2,58.1,52.2,58.3,65,119,108,202,190,0.0,0.0,0.0,0.0,0.0,72.2,72.7,72.7,73.0,11.3,11.6,10.2,10.1,2.8,0.0,0.0,0.0,21.4,21.4,17.5,19.5,25.6,20.2,16.3,21.7,135.8,130.7,106.7,142.6,458.3,488.6,384.2,429.7,907.8,912.6,737.9,898.1,1.2,1.2,1.1,0.9,1.1,1.7,3.3,4.1,3.4,4.5
Mount Washington/Coldspring,10.9,10.9,0.0,0.0,10.9,89.6,90.9,95.3,87.0,92.4,92.5,92.7,96.9,89.9,89.4,64.2,70.9,70.3,71.0,65.2,90,122,112,98,103,0.0,0.0,0.0,0.0,0.0,81.1,81.7,81.4,81.3,3.2,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.3,6.6,6.6,10.6,52.8,46.3,29.6,43.8,283.7,257.9,212.0,260.7,1562.0,1532.8,1226.3,1591.2,0.2,0.4,0.2,0.4,0.2,1.0,0.3,0.3,0.4,0.2
