,index,address,name,rating
126,1,"424 South Pulaski St, Baltimore, MD 21223",Samuel F. B. Morse Elementary School,3
127,2,"3880 Sinclair Ln, Baltimore, MD 21213",Sinclair Lane Elementary School,2
128,3,"605 Dryden Dr, Baltimore, MD 21229",Thomas Jefferson Elementary School,4
129,4,"3400 Ellerslie Ave, Baltimore, MD 21218",Waverly Elementary School,3
130,5,"200 North Lakewood Ave, Baltimore, MD 21224",William Paca Elementary School,3
131,6,"701 Gold Street, Baltimore, MD 21217",William Pinderhughes Elementary School,5
132,7,"4001 Alto Rd, Baltimore, MD 21216",Windsor Hills Elementary School,3
133,8,"7300 Moyer Ave, Baltimore, MD 21234",Woodhome Elementary/Middle School,3
134,9,"1300 Gorsuch Ave, Baltimore, MD 21218",Stadium School,4
135,10,"3501 Hillsdale Rd, Baltimore, MD 21207",Calvin M. Rodwell Elementary School,4
136,11,"4520 York Rd, Baltimore, MD 21212",Guilford Elementary/Middle School,2
137,12,"1100 Covington St, Baltimore, MD 21230",Digital Harbor High School,3
138,13,"500 N. Caroline Street, Baltimore, MD 21205",National Academy Foundation,4
139,14,"100 North Calhoun St, Baltimore, MD 21223",Vivien T. Thomas Medical Arts Academy,4
140,15,"200 North Central Ave, Baltimore, MD 21202",Inner Harbor East Academy,3
141,16,"5000 Truesdale Ave, Baltimore, MD 21206",Vanguard Collegiate Middle School,0
142,17,"900 Woodbourne Ave, Baltimore, MD 21212",Baltimore I.T. Academy,1
143,18,", Baltimore, MD 21234",Monarch Academy Public Charter School,0
144,19,"2500 East Northern Parkway, Baltimore, MD 21214",N.A.C.A. Freedom And Democracy Academy Ii,2
145,20,"800 Poplar Grove St, Baltimore, MD 21216",Alexander Hamilton Elementary School,4
146,21,"2400 Round Rd, Baltimore, MD 21225",Arundel Elementary/Middle School,3
147,22,"4301 10th St, Baltimore, MD 21225",Bay-Brook Elementary School,3
148,23,"1406 North Ellamont St, Baltimore, MD 21216",Belmont Elementary School,2
149,24,"1301 McCulloh St, Baltimore, MD 21217",Booker T. Washington Middle School,4
150,0,"3701 Fernhill Ave, Baltimore, MD 21215",Callaway Elementary School,3
151,1,"1100 Whitmore Ave, Baltimore, MD 21216",Calverton Elementary/Middle School,4
152,2,"2501 Seabury Rd, Baltimore, MD 21225",Dr. Carter Godwin Woodson Elementary/Middle School,3
153,3,"801 Bridgeview Rd, Baltimore, MD 21225",Cherry Hill Elementary/Middle School,5
154,4,"100 South Caroline St, Baltimore, MD 21231",City Springs Elementary School,4
155,5,"1409 North Collington Ave, Baltimore, MD 21213",Collington Square Elementary School,4
156,6,"201 East 21st St, Baltimore, MD 21218",Dallas F. Nicholas Sr. Elementary School,4
157,7,"501 North Athol Ave, Baltimore, MD 21229",Edmondson-Westside High School,4
158,8,"3701 Eldorado Ave, Baltimore, MD 21207",Forest Park High School,4
159,9,"2701 East Oliver St, Baltimore, MD 21213",Fort Worthington Elementary School,2
160,10,"1200 Pennsylvania Ave, Baltimore, MD 21217",Furman L. Templeton Elementary School,3
161,11,"1311 North Gilmor St, Baltimore, MD 21217",Gilmor Elementary School,4
162,12,"1401 West Lafayette Ave, Baltimore, MD 21217",Harlem Park Elementary School,3
163,13,"31 South Schroeder St, Baltimore, MD 21223",James Mchenry Elementary School,2
164,14,"2400 West Mosher St, Baltimore, MD 21216",James Mosher Elementary School,4
165,15,"1101 Valley St, Baltimore, MD 21202",Johnston Square Elementary School,2
166,16,"3510 West Mulberry St, Baltimore, MD 21229",Mary E. Rodman Elementary School,3
167,17,"5001 Moravia Rd, Baltimore, MD 21206",Northeast Middle School,3
168,18,"6900 Park Heights Ave, Baltimore, MD 21215",Northwestern High School,3
169,19,"4849 Pimlico Rd, Baltimore, MD 21215",Pimlico Elementary School,2
170,20,"507 West Preston St, Baltimore, MD 21201",The Historic Samuel Coleridge-Taylor Elementary School,3
171,21,"3434 Old Frederick Rd, Baltimore, MD 21229",Sarah M. Roach Elementary School,4
172,22,"30 South Gilmor St, Baltimore, MD 21223",Steuart Hill Academic Academy,2
173,23,"600 North Patterson Park Ave, Baltimore, MD 21205",Tench Tilghman Elementary School,3
174,24,"820 East 43rd St, Baltimore, MD 21212",Walter P. Carter Elementary School,3
175,0,"2401 Nevada St, Baltimore, MD 21230",Westport Academy,3
176,1,"2235 North Fulton Ave, Baltimore, MD 21217",Westside Elementary School,5
177,2,"150 West West St, Baltimore, MD 21230",Sharp-Leadenhall Elementary School,0
178,3,"2501 Frederick Ave, Baltimore, MD 21223",Frederick Elementary School,4
179,4,"1919 North Broadway, Baltimore, MD 21213",Harford Heights Elementary School,5
180,5,"2801 Dukeland St, Baltimore, MD 21216",Connexions Community Leadership Academy,5
181,6,"2201 Pinewood Ave, Baltimore, MD 21214",W.E.B. Dubois High School,3
182,7,"6401 Pioneer Dr, Baltimore, MD 21214",Reginald F. Lewis High School,2
183,8,"2700 Seamon Ave, Baltimore, MD 21225",New Era Academy,5
184,9,"2801 St Lo Dr, Baltimore, MD 21213",Heritage High School,3
185,10,"1300 West 36th St, Baltimore, MD 21211",Academy For College And Career Exploration,4
186,11,"1500 Harlem Ave, Baltimore, MD 21217",Augusta Fells Savage Institute Of Visual Arts,4
187,12,"5001 Sinclair Lane, Baltimore, MD 21206",Maritime Industries Academy,4
188,13,"2500 West North Ave, Baltimore, MD 21216",Coppin Academy,3
189,14,"1301 McCulloh St, Baltimore, MD 21217",Renaissance Academy,4
190,15,"4701 Greenspring Ave, Baltimore, MD 21209",MD Academy of Technology and Health Sciences Middle/High School,3
191,16,"2500 East Northern Parkway, Baltimore, MD 21214",Friendship Academy Of Engineering And Technology,2
192,17,"900 Druid Hill Ave, Baltimore, MD 21201",New Hope Academy,3
193,18,"201 Northbend Rd, Baltimore, MD 21229",K.A.S.A. (Knowledge And Success Academy),2
194,19,"2815 Saint Lo Drive, Baltimore, MD 21213",The Reach! Partnership School,3
195,20,"2000 Edgewood St, Baltimore, MD 21216",Bluford Drew Jemison Stem Academy West,5
196,21,"1807 Harlem Avenue, Baltimore, MD 21217",Roots and Branches,4
197,22,"801 South Highland Ave, Baltimore, MD 21224",Canton Middle School,2
198,23,"900 Woodbourne Ave, Baltimore, MD 21212",Baltimore IT Academy,3
199,24,"5301 Erdman Ave, Baltimore, MD 21205",Claremont School,0
200,0,"701 Gold St, Baltimore, MD 21217",George G. Kelson Elementary School,2
201,1,"4411 Garrison Blvd, Baltimore, MD 21215",George W.F. McMechen High School,5
202,2,"3910 Barrington Rd, Baltimore, MD 21207",Garrison Middle School,1
203,3,"2555 Harford Rd, Baltimore, MD 21218",Harbor City High School,4
204,4,"2625 Federal St, Baltimore, MD 21213",Lakewood Elementary School,5
205,5,"1601 East Lombard St, Baltimore, MD 21231",Lombard Middle School,4
206,6,"844 Roundview Rd, Baltimore, MD 21225",Patapsco Elementary/Middle School,3
207,7,"2001 North Warwick Ave, Baltimore, MD 21216",William S. Baer School,4
208,8,"1501 Ashburton St, Baltimore, MD 21216",Alternative Elementary School,3
209,9,"401 East Eager St, Baltimore, MD 21202",Eager Street Academy,0
210,10,"2700 Seamon Ave, Baltimore, MD 21225",Southside Academy,4
211,11,"1001 West Saratoga St, Baltimore, MD 21223",Francis M. Wood Alternative High School,3
212,12,"1600 Arlington Ave, Baltimore, MD 21239",Lois T. Murray Elementary School,5
213,13,"500 North Caroline St, Baltimore, MD 21205",Paul Laurence Dunbar Middle School,2
214,14,"4701 Greenspring Ave, Baltimore, MD 21209",K.I.P.P. Ujima Village Academy,4
215,15,"5000 Truesdale Ave, Baltimore, MD 21206",Dr. Samuel L. Banks High School,3
216,16,"1601 E. Lombard Street, Baltimore, MD 21231",Baltimore Freedom Academy,3
217,17,"5000 Truesdale Ave, Baltimore, MD 21206",Thurgood Marshall High School,2
218,18,"2801 St Lo Dr, Baltimore, MD 21213",Doris M. Johnson High School,4
219,19,"1500 Harlem Ave, Baltimore, MD 21217",Baltimore Talent Development High School,4
220,20,"2801 North Dukeland St, Baltimore, MD 21216",Institute Of Business And Entrepreneurship,3
221,21,"2050 N. Wolfe Street, Baltimore, MD 21213",William C. March Middle School,2
222,22,"1130 North Caroline St, Baltimore, MD 21213",Bluford Drew Jemison Stem Academy Middle,5
223,23,"2000 Edgewood Street, Baltimore, MD 21216",Baltimore Civitas Middle/High School,5
224,24,"801 South Highland Ave, Baltimore, MD 21224",Friendship Academy Of Science And Technology,3
